AccountNumber,DealNumber,Total_Amount,Total_Discount,Net_Total_Amount,Age in Days,Setup,Product,Deals_Per_Account
2993.0,6096.0,228.0,0.0,228.0,2293,$19.00,Online Presence Package A,1
2995.0,3844.0,599.4000000000001,0.0,599.4000000000001,3652,$49.95,Local Listing (City),1
3011.0,3847.0,599.4000000000001,0.0,599.4000000000001,3652,$49.95,Local Listing (City),1
3035.0,4224.0,499.5,0.0,499.5,3653,$49.95,Online Presence Package A,1
3043.0,4227.0,599.4000000000001,0.0,599.4000000000001,3653,$49.95,Local Listing (City),1
3047.0,4666.0,948.0,0.0,948.0,3654,$79.00,Local Listing (City),1
3053.0,4337.0,948.0,0.0,948.0,3652,$79.00,Local Listing (City),1
3057.0,5497.0,599.4000000000001,0.0,599.4000000000001,3655,$49.95,Local Listing (City),1
3058.0,5515.0,599.4000000000001,0.0,599.4000000000001,3656,$49.95,Local Listing (City),1
3065.0,7024.0,654.4000000000001,0.0,654.4000000000001,3636,$20.00,Online Presence Package A,1
3069.0,5523.0,240.0,0.0,240.0,3655,$20.00,Local Listing (City),1
3070.0,5739.0,300.0,0.0,300.0,3656,$25.00,Local Listing (City),1
3074.0,4743.0,599.4000000000001,0.0,599.4000000000001,3652,$49.95,Online Presence Package A,1
3080.0,4747.0,599.4000000000001,0.0,599.4000000000001,3652,$49.95,Online Presence Package A,1
3107.0,4967.0,588.0,0.0,588.0,3652,$49.00,Local Listing (City),1
3112.0,4971.0,599.4000000000001,0.0,599.4000000000001,3652,$49.95,Local Listing (City),1
3121.0,20854.0,1199.8799999999999,239.95999999999998,959.92,1706,$49.99,Online Presence Package A,1
3129.0,5097.0,599.4000000000001,0.0,599.4000000000001,3652,$49.95,Online Presence Package A,1
3135.0,6848.0,828.0,0.0,828.0,3628,$69.00,Local Listing (City),1
3156.0,5099.0,149.85000000000002,0.0,149.85000000000002,3651,$49.95,Local Listing (City),1
3171.0,6571.0,599.4000000000001,24.98,574.4200000000001,3621,$49.95,Online Presence Package A,1
3172.0,6357.0,659.4000000000001,27.47,631.9300000000001,3621,$49.95,Local Listing (City),1
3187.0,2378.0,599.4000000000001,0.0,599.4000000000001,3621,$0.00,Online Presence Package A,1
3209.0,3968.0,599.4000000000001,0.0,599.4000000000001,3621,$49.95,Local Listing (City),1
3220.0,2814.0,654.4000000000001,0.0,654.4000000000001,3032,$49.95,Local Listing (City),1
3227.0,5261.0,480.0,0.0,480.0,3643,$49.00,Online Presence Package A,1
3228.0,5265.0,480.0,0.0,480.0,3643,$49.00,Local Listing (City),1
3248.0,6379.0,599.4000000000001,0.0,599.4000000000001,3614,$49.95,Online Presence Package A,1
3251.0,7434.0,599.4000000000001,0.0,599.4000000000001,3621,$49.95,Local Listing (City),1
3259.0,2664.0,599.4000000000001,0.0,599.4000000000001,3621,$49.95,Online Presence Package A,1
3262.0,19589.0,599.88,0.0,599.88,1736,$49.99,Online Presence Package A,1
3266.0,7761.0,599.4000000000001,0.0,599.4000000000001,3621,$49.95,Local Listing (City),1
3274.0,5630.0,539.0,0.0,539.0,3636,$49.00,Online Presence Package A,1
3275.0,5631.0,539.0,0.0,539.0,3636,$49.00,Online Presence Package A,1
3276.0,5694.0,539.0,0.0,539.0,3636,$49.00,Local Listing (City),1
3278.0,7768.0,588.0,0.0,588.0,3622,$49.00,Local Listing (City),1
3279.0,7773.0,588.0,0.0,588.0,3622,$49.00,Online Presence Package A,1
3315.0,8380.0,599.4000000000001,0.0,599.4000000000001,3622,$149.85,Local Listing (City),1
3322.0,2345.0,599.4000000000001,0.0,599.4000000000001,3620,$49.95,Online Presence Package A,1
3324.0,2672.0,599.4000000000001,49.95,549.45,3622,$49.95,Local Listing (City),1
3328.0,2696.0,840.0,0.0,840.0,3632,$250.00,Online Presence Package A,1
3331.0,2854.0,599.4000000000001,0.0,599.4000000000001,3621,$49.95,Local Listing (City),1
3332.0,165193.0,785.88,0.0,785.88,549,$15.00,Winback Listing B,1
3336.0,7308.0,654.4000000000001,0.0,654.4000000000001,3612,$49.95,Online Presence Package A,1
3365.0,3382.0,599.4000000000001,0.0,599.4000000000001,3594,$149.95,Local Listing (City),1
3371.0,4014.0,599.4000000000001,0.0,599.4000000000001,3621,$49.95,Online Presence Package A,1
3388.0,3387.0,599.4000000000001,0.0,599.4000000000001,3620,$49.95,Local Listing (City),1
3396.0,7436.0,599.4000000000001,0.0,599.4000000000001,3607,$49.95,Local Listing (City),1
3397.0,7438.0,600.0,0.0,600.0,3607,$50.00,Local Listing (City),1
3398.0,243880.0,601.2,0.0,601.2,184,$49.99,Winback Listing B,1
3402.0,4630.0,654.4000000000001,0.0,654.4000000000001,3623,$49.95,Local Listing (City),1
3412.0,7972.0,262.0,0.0,262.0,3608,$20.00,Local Listing (City),1
3414.0,4450.0,599.4000000000001,0.0,599.4000000000001,3621,$49.95,Local Listing (City),1
3422.0,7748.0,479.88,0.0,479.88,3607,$39.99,Local Listing (City),1
3438.0,4749.0,714.35,0.0,714.35,3611,$199.80,Local Listing (City),1
3442.0,5677.0,599.4000000000001,0.0,599.4000000000001,3621,$49.95,Local Listing (City),1
3447.0,4836.0,599.4000000000001,0.0,599.4000000000001,3621,$49.95,Local Listing (City),1
3449.0,8221.0,660.0,82.5,577.5,3513,$50.00,Online Presence Package A,1
3450.0,8224.0,660.0,82.5,577.5,3513,$50.00,Online Presence Package A,1
3451.0,8228.0,660.0,82.5,577.5,3513,$50.00,Online Presence Package A,1
3452.0,8231.0,660.0,82.5,577.5,3513,$50.00,Online Presence Package A,1
3453.0,8233.0,660.0,82.5,577.5,3513,$50.00,Online Presence Package A,1
3459.0,4632.0,654.4000000000001,0.0,654.4000000000001,3616,$49.95,Online Presence Package A,1
3461.0,6359.0,599.4000000000001,0.0,599.4000000000001,3593,$49.95,Local Listing (City),1
3491.0,5283.0,480.0,0.0,480.0,3616,$49.00,Online Presence Package A,1
3492.0,5287.0,480.0,0.0,480.0,3616,$49.00,Online Presence Package A,1
3502.0,7053.0,599.4000000000001,49.92,549.48,3593,$49.95,Local Listing (City),1
3506.0,404590.0,1249.95,0.0,1249.95,34,$49.99,Amnesty Listing B,1
3513.0,393840.0,300.6,0.0,300.6,30,$49.99,Amnesty Listing B,1
3525.0,7397.0,599.4000000000001,0.0,599.4000000000001,3593,$49.95,Local Listing (City),1
