AccountNumber,DealNumber,Total_Amount,Total_Discount,Net_Total_Amount,Age in Days,Setup,Product,Deals_Per_Account
3710.0,7778.0,164.85000000000002,0.0,164.85000000000002,4303.0,149.95,Local Listing (City),1
3718.0,5973.0,647.98,68.9,579.08,4323.0,149.95,Local Listing (City),1
3720.0,4497.0,720.48,0.0,720.48,4316.0,49.99,Local Listing (City),1
3739.0,6349.0,714.3,0.0,714.3,4293.0,149.95,Local Listing (City),1
3752.0,753820.0,569.6700000000001,81.96,487.71000000000004,30.0,0.0,Amnesty Listing B,1
3763.0,7096.0,714.3,0.0,714.3,4294.0,149.95,Local Listing (City),1
3790.0,7107.0,714.3,0.0,714.3,4293.0,150.0,Online Presence Package A,1
3792.0,19977.0,714.42,0.0,714.42,2467.0,49.99,Organic Listing,1
3795.0,7109.0,107.8,0.0,107.8,4293.0,149.0,Online Presence Package A,1
3799.0,753681.0,569.6700000000001,81.96,487.71000000000004,31.0,0.0,Amnesty Listing B,1
3802.0,7309.0,701.88,0.0,701.88,4293.0,49.0,Online Presence Package A,1
3813.0,7313.0,714.3,0.0,714.3,4293.0,149.95,Local Listing (City),1
3826.0,7650.0,720.4,88.50999999999999,631.89,4316.0,149.95,Online Presence Package A,1
3832.0,7400.0,476.2,0.0,476.2,4305.0,49.95,Local Listing (City),2
3832.0,928834.0,975.96,512.37,463.59,31.0,0.0,Amnesty Listing Easy Start B,2
3844.0,7607.0,915.21,71.48,843.73,4293.0,125.0,Online Presence Package A,1
3869.0,7669.0,714.3,0.0,714.3,4293.0,149.95,Online Presence Package A,1
3872.0,3439.0,720.4,0.0,720.4,4306.0,149.95,Local Listing (City),1
3885.0,5775.0,659.35,79.37,579.98,4307.0,149.95,Online Presence Package A,1
3909.0,8399.0,714.3,64.86,649.4399999999999,4293.0,149.1,Online Presence Package A,1
3914.0,109080.0,720.48,61.04,659.4399999999999,1558.0,29.99,Winback Listing,1
3933.0,2690.0,720.4,0.0,720.4,4295.0,149.95,Local Listing (City),1
3939.0,3008.0,720.4,0.0,720.4,4294.0,49.95,Local Listing (City),1
3948.0,2688.0,537.25,0.0,537.25,4294.0,149.95,Online Presence Package A,1
3950.0,377765.0,720.52,0.0,720.52,607.0,49.99,Winback Listing B,1
3959.0,5124.0,720.4,0.0,720.4,4305.0,149.95,Local Listing (City),1
3961.0,3664.0,720.4,0.0,720.4,4295.0,49.95,Local Listing (City),1
3976.0,4240.0,574.2,0.0,574.2,4295.0,39.95,Local Listing (City),1
3980.0,4241.0,720.4,0.0,720.4,4296.0,149.95,Local Listing (City),1
3982.0,4244.0,659.35,0.0,659.35,4296.0,149.95,Online Presence Package A,1
3995.0,4216.0,720.4,0.0,720.4,4295.0,149.95,Local Listing (City),1
4023.0,4380.0,598.3,0.0,598.3,4294.0,149.95,Local Listing (City),1
4024.0,5747.0,714.3,0.0,714.3,4285.0,100.0,Local Listing (City),1
4027.0,4388.0,720.4,0.0,720.4,4294.0,149.95,Local Listing (City),1
4042.0,4308.0,658.7,0.0,658.7,4293.0,149.95,Online Presence Package B,1
4052.0,5133.0,653.25,77.53,575.72,4276.0,149.95,Local Listing (City),1
4077.0,5218.0,720.4,0.0,720.4,4297.0,100.0,Local Listing (City),1
4078.0,5607.0,901.8,181.79,720.01,4296.0,39.99,Local Listing (City),2
4078.0,20011746.0,365.99,219.59,146.4,30.0,49.99,Winback Listing B,2
4103.0,2778.0,1139.46,0.0,1139.46,4280.0,0.0,Online Presence Package A,1
4130.0,5551.0,720.4,0.0,720.4,4293.0,75.0,Local Listing (City),1
4131.0,5889.0,720.4,0.0,720.4,4294.0,149.95,Local Listing (City),1
4162.0,5962.0,720.4,0.0,720.4,4293.0,75.0,Local Listing (City),1
4168.0,2956.0,720.4,0.0,720.4,4293.0,149.95,Online Presence Package A,1
4184.0,19473.0,720.4,0.0,720.4,2498.0,49.99,Online Presence Package A,1
4199.0,6856.0,714.3,0.0,714.3,4263.0,149.95,Local Listing (City),1
4213.0,7073.0,714.3,0.0,714.3,4263.0,149.95,Local Listing (City),1
4214.0,7086.0,714.3,0.0,714.3,4263.0,149.95,Online Presence Package A,1
4223.0,442513.0,1404.79,0.0,1404.79,549.0,1.0,Winback Listing B,1
4240.0,3929.0,720.4,8.24,712.16,4281.0,149.95,Local Listing (City),1
4253.0,7782.0,714.3,0.0,714.3,4263.0,149.95,Local Listing (City),1
4254.0,4309.0,720.4,0.0,720.4,4275.0,49.95,Online Presence Package A,1
4277.0,8253.0,714.3,0.0,714.3,4263.0,49.95,Local Listing (City),1
4300.0,4638.0,714.3,24.42,689.88,4281.0,30.0,Local Listing (City),1
4327.0,2683.0,1136.2,0.0,1136.2,4265.0,199.0,Local Listing (City),1
4349.0,371240.0,658.82,0.0,658.82,621.0,24.99,Winback Listing B,1
4351.0,5533.0,574.28,0.0,574.28,4275.0,75.0,Online Presence Package A,1
4352.0,5536.0,574.28,0.0,574.28,4275.0,75.0,Local Listing (City),1
4359.0,3513.0,720.4,0.0,720.4,4264.0,49.95,Online Presence Package A,1
4360.0,5131.0,720.4,0.0,720.4,4269.0,149.95,Online Presence Package A,1
4389.0,278344.0,476.32,64.02,412.3,776.0,1.0,Winback Listing B,1
4396.0,4228.0,708.0,0.0,708.0,4265.0,49.0,Local Listing (City),1
4398.0,3859.0,494.97,247.46999999999997,247.5,2796.0,149.99,Local Listing (City),1
4407.0,2735.0,1136.2,0.0,1136.2,4264.0,0.0,Local Listing (City),1
4418.0,5600.0,574.28,0.0,574.28,4267.0,75.0,Online Presence Package A,1
4419.0,5601.0,574.28,0.0,574.28,4267.0,75.0,Online Presence Package B,1
4464.0,5707.0,720.4,0.0,720.4,4263.0,49.95,Local Listing (City),1
4475.0,5875.0,720.4,0.0,720.4,4263.0,150.0,Online Presence Package A,1
4476.0,5879.0,574.28,24.31,549.97,4263.0,100.0,Online Presence Package A,1
4477.0,4300.0,720.4,0.0,720.4,4258.0,150.0,Local Listing (City),1
4502.0,726856.0,1074.82,0.0,1074.82,92.0,1.0,Winback Listing B,2
4502.0,970096.0,243.98,122.0,121.98,31.0,1.0,Winback Listing B,2
4520.0,6751.0,859.08,0.0,859.08,4232.0,75.0,Local Listing (City),1
4522.0,179670.0,652.9200000000001,27.94,624.98,1187.0,49.99,Winback Listing B,1
4527.0,6879.0,714.3,0.0,714.3,4232.0,149.95,Local Listing (City),1
4528.0,753849.0,569.6700000000001,81.96,487.71000000000004,30.0,0.0,Amnesty Listing B,1
4529.0,5303.0,574.3000000000001,52.8,521.5,4254.0,49.95,Organic Listing,1
4530.0,5305.0,569.6700000000001,81.96,487.71000000000004,4241.0,49.95,Local Listing (City),1
4532.0,5308.0,569.6700000000001,81.96,487.71000000000004,4241.0,49.95,Local Listing (City),1
4541.0,7457.0,655.0,0.0,655.0,4242.0,199.0,Local Listing (City),1
4552.0,7786.0,714.3,0.0,714.3,4234.0,49.95,Online Presence Package A,1
4553.0,7441.0,720.4,0.0,720.4,4249.0,49.95,Local Listing (City),1
4568.0,7445.0,714.3,0.0,714.3,4232.0,49.95,Local Listing (City),1
4574.0,7677.0,714.3,42.72,671.5799999999999,4232.0,49.95,Online Presence Package A,1
4597.0,7788.0,714.4499999999999,0.0,714.4499999999999,4232.0,50.0,Local Listing (City),1
4605.0,7982.0,720.4,48.84,671.56,4238.0,150.0,Local Listing (City),1
4606.0,315005.0,2882.48,708.3,2174.18,704.0,49.99,Amnesty Listing Easy Start B,1
4615.0,5070.0,720.4,0.0,720.4,4249.0,49.95,Local Listing (City),1
4624.0,7933.0,714.3,0.0,714.3,4232.0,150.0,Local Listing (City),1
